mode,total_stepcount,total_time,average_steptime,score,goal_dist,planning_steps,path_cost,crowdedness,branch_complex,map_complex
2,83,13.253162748157646,0.16162393595314203,7,3,1171,51,3,1,6
2,84,13.253338407046243,0.15967877598850896,7,3,1171,51,3,1,6
2,85,13.253488407894931,0.15777962390351108,7,2,1171,51,3,1,6
2,86,13.253618671789845,0.15592492555046875,7,1,1171,51,3,1,6
2,87,13.253752093597363,0.15411339643717864,7,1,1171,51,3,1,6
2,88,13.253906041836807,0.1523437476073196,7,1,1171,51,10,1,6
2,89,13.254039068905247,0.1506140803284687,7,1,1171,51,10,1,6
2,90,13.254316175736246,0.14892490085096907,8,1,1171,51,10,1,6
2,91,17.073863970546135,0.18970959967273485,8,1,1269,168,10,1,6
2,92,17.0740289714797,0.1876266919942824,8,2,1269,168,10,1,6
2,93,17.07418568289267,0.18558897481405073,8,3,1269,168,10,1,6
2,94,17.074479763503916,0.1835965565968163,8,3,1269,168,3,1,6
2,95,17.07465344869714,0.18164524945422492,8,3,1269,168,3,1,6
2,96,17.074807396936592,0.1797348147045957,8,3,1269,168,3,1,6
2,97,17.07496805574032,0.17786425058062835,8,3,1269,168,3,1,6
2,98,17.07510463546044,0.17603200655113857,8,3,1269,168,3,1,6
2,99,17.075241609919644,0.17423715928489433,8,3,1269,168,3,1,6
2,100,17.07539200550741,0.17247870712633748,8,3,1269,168,3,1,6
2,101,17.075600427739275,0.17075600427739274,8,3,1269,168,3,1,6
2,102,17.075906350522786,0.1690683797081464,8,3,1269,168,3,1,6
2,103,17.076032272287875,0.16741208110086153,8,3,1269,168,3,1,6
2,104,17.076168457268928,0.16578804327445562,8,3,1269,168,4,1,6
2,105,17.076312537031484,0.16419531285607197,8,3,1269,168,5,1,6
2,106,17.076445564099927,0.16263281489618978,8,3,1269,168,3,1,6
2,107,17.076580564863747,0.161099816649658,8,3,1269,168,4,1,6
2,108,17.07671438141034,0.15959546150850787,8,3,1269,168,6,1,6
2,109,17.07683003995946,0.1581187966662913,8,2,1269,168,4,1,6
2,110,17.07695398802916,0.15666930264246937,8,1,1269,168,5,1,6
2,111,17.077092936183732,0.1552462994198521,8,1,1269,168,0,1,6
2,112,17.077345569192047,0.15384996008281124,9,1,1269,168,0,1,6
2,113,17.077649913019258,0.15247901708052908,9,1,1,3,0,1,6
2,114,17.077915967156137,0.15113199970934635,9,1,1,3,0,1,6
2,115,17.078213205679987,0.14980888776912268,9,1,1,3,0,1,6
